RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited,eligible,active,country
1,15634602,Hargrave,619,Female,42,2,0,1,101348.88,1,TRUE,TRUE,Canada
2,15647311,Hill,608,Female,41,1,83807.86,1,112542.58,0,FALSE,FALSE,France
3,15619304,Onio,502,Female,42,8,159660.8,3,113931.57,1,TRUE,TRUE,USA
4,15701354,Boni,699,Female,39,1,0,2,93826.63,0,TRUE,FALSE,Italy
5,15737888,Mitchell,850,Female,43,2,125510.82,1,79084.1,0,TRUE,FALSE,UK
6,15574012,Chu,645,Male,44,8,113755.78,2,149756.71,1,FALSE,TRUE,Germany
7,15592531,Bartlett,822,Male,50,7,0,2,10062.8,0,TRUE,FALSE,Germany
8,15656148,Obinna,376,Female,29,4,115046.74,4,119346.88,1,TRUE,FALSE,Germany
9,15792365,He,501,Male,44,4,142051.07,2,74940.5,0,TRUE,TRUE,Canada
10,15592389,H?,684,Male,27,2,134603.88,1,71725.73,0,FALSE,TRUE,UK
11,15767821,Bearce,528,Male,31,6,102016.72,2,80181.12,0,TRUE,TRUE,Spain
12,15737173,Andrews,497,Male,24,3,0,2,76390.01,0,TRUE,TRUE,UK
13,15632264,Kay,476,Female,34,10,0,2,26260.98,0,TRUE,FALSE,Spain
14,15691483,Chin,549,Female,25,5,0,2,190857.79,0,TRUE,TRUE,Germany
15,15600882,Scott,635,Female,35,7,0,2,65951.65,0,FALSE,TRUE,France
16,15643966,Goforth,616,Male,45,3,143129.41,2,64327.26,0,TRUE,TRUE,France
17,15737452,Romeo,653,Male,58,1,132602.88,1,5097.67,1,FALSE,TRUE,Spain
18,15788218,Henderson,549,Female,24,9,0,2,14406.41,0,FALSE,TRUE,Germany
19,15661507,Muldrow,587,Male,45,6,0,1,158684.81,0,FALSE,FALSE,UK
20,15568982,Hao,726,Female,24,6,0,2,54724.03,0,TRUE,TRUE,France
21,15577657,McDonald,732,Male,41,8,0,2,170886.17,0,FALSE,FALSE,Spain
22,15597945,Dellucci,636,Female,32,8,0,2,138555.46,0,TRUE,TRUE,UK
23,15699309,Gerasimov,510,Female,38,4,0,1,118913.53,1,FALSE,TRUE,Germany
24,15725737,Mosman,669,Male,46,3,0,2,8487.75,0,FALSE,TRUE,USA
25,15625047,Yen,846,Female,38,5,0,1,187616.16,0,FALSE,TRUE,Germany
26,15738191,Maclean,577,Male,25,3,0,2,124508.29,0,FALSE,TRUE,Canada
27,15736816,Young,756,Male,36,2,136815.64,1,170041.95,0,FALSE,TRUE,Germany
28,15700772,Nebechi,571,Male,44,9,0,2,38433.35,0,FALSE,TRUE,UK
29,15728693,McWilliams,574,Female,43,3,141349.43,1,100187.43,0,FALSE,TRUE,UK
30,15656300,Lucciano,411,Male,29,0,59697.17,2,53483.21,0,FALSE,FALSE,Italy
31,15589475,Azikiwe,591,Female,39,3,0,3,140469.38,1,TRUE,TRUE,Italy
32,15706552,Odinakachukwu,533,Male,36,7,85311.7,1,156731.91,0,TRUE,FALSE,UK
33,15750181,Sanderson,553,Male,41,9,110112.54,2,81898.81,0,FALSE,TRUE,UK
34,15659428,Maggard,520,Female,42,6,0,2,34410.55,0,FALSE,FALSE,USA
35,15732963,Clements,722,Female,29,9,0,2,142033.07,0,FALSE,TRUE,USA
36,15794171,Lombardo,475,Female,45,0,134264.04,1,27822.99,1,TRUE,TRUE,Germany
37,15788448,Watson,490,Male,31,3,145260.23,1,114066.77,0,FALSE,TRUE,Canada
38,15729599,Lorenzo,804,Male,33,7,76548.6,1,98453.45,0,TRUE,FALSE,France
39,15717426,Armstrong,850,Male,36,7,0,1,40812.9,0,TRUE,FALSE,Canada
40,15585768,Cameron,582,Male,41,6,70349.48,2,178074.04,0,TRUE,FALSE,USA
41,15619360,Hsiao,472,Male,40,4,0,1,70154.22,0,TRUE,FALSE,Germany
42,15738148,Clarke,465,Female,51,8,122522.32,1,181297.65,1,TRUE,TRUE,Canada
43,15687946,Osborne,556,Female,61,2,117419.35,1,94153.83,0,FALSE,TRUE,Spain
44,15755196,Lavine,834,Female,49,2,131394.56,1,194365.76,1,FALSE,TRUE,Italy
45,15684171,Bianchi,660,Female,61,5,155931.11,1,158338.39,0,FALSE,FALSE,Canada
46,15754849,Tyler,776,Female,32,4,109421.13,2,126517.46,0,FALSE,TRUE,France
47,15602280,Martin,829,Female,27,9,112045.67,1,119708.21,1,FALSE,FALSE,Germany
48,15771573,Okagbue,637,Female,39,9,137843.8,1,117622.8,1,TRUE,FALSE,Canada
49,15766205,Yin,550,Male,38,2,103391.38,1,90878.13,0,FALSE,FALSE,UK
50,15771873,Buccho,776,Female,37,2,103769.22,2,194099.12,0,FALSE,FALSE,Spain
51,15616550,Chidiebele,698,Male,44,10,116363.37,2,198059.16,0,TRUE,FALSE,Italy
52,15768193,Trevisani,585,Male,36,5,146050.97,2,86424.57,0,FALSE,TRUE,Spain
53,15683553,O'Brien,788,Female,33,5,0,2,116978.19,0,TRUE,FALSE,Germany
54,15702298,Parkhill,655,Male,41,8,125561.97,1,164040.94,1,FALSE,FALSE,USA
55,15569590,Yoo,601,Male,42,1,98495.72,1,40014.76,1,TRUE,TRUE,Italy
56,15760861,Phillipps,619,Male,43,1,125211.92,1,113410.49,0,FALSE,FALSE,Spain
57,15630053,Tsao,656,Male,45,5,127864.4,1,87107.57,0,FALSE,FALSE,USA
58,15647091,Endrizzi,725,Male,19,0,75888.2,1,45613.75,0,TRUE,TRUE,France
59,15623944,T'ien,511,Female,66,4,0,1,1643.11,1,TRUE,TRUE,Germany
60,15804771,Velazquez,614,Male,51,4,40685.92,1,46775.28,0,TRUE,TRUE,Germany
61,15651280,Hunter,742,Male,35,5,136857,1,84509.57,0,TRUE,FALSE,Italy
62,15773469,Clark,687,Female,27,9,152328.88,2,126494.82,0,TRUE,TRUE,Spain
63,15702014,Jeffrey,555,Male,33,1,56084.69,2,178798.13,0,TRUE,TRUE,France
64,15751208,Pirozzi,684,Male,56,8,78707.16,1,99398.36,0,TRUE,TRUE,UK
65,15592461,Jackson,603,Male,26,4,109166.37,1,92840.67,0,TRUE,FALSE,Italy
66,15789484,Hammond,751,Female,36,6,169831.46,2,27758.36,0,FALSE,TRUE,UK
67,15696061,Brownless,581,Female,34,1,101633.04,1,110431.51,0,FALSE,FALSE,Italy
68,15641582,Chibugo,735,Male,43,10,123180.01,2,196673.28,0,TRUE,FALSE,Spain
69,15638424,Glauert,661,Female,35,5,150725.53,2,113656.85,0,FALSE,TRUE,France
70,15755648,Pisano,675,Female,21,8,98373.26,1,18203,0,FALSE,FALSE,Spain
71,15703793,Konovalova,738,Male,58,2,133745.44,4,28373.86,1,FALSE,FALSE,Germany
72,15620344,McKee,813,Male,29,6,0,1,33953.87,0,FALSE,TRUE,UK
73,15812518,Palermo,657,Female,37,0,163607.18,1,44203.55,0,TRUE,FALSE,USA
74,15779052,Ballard,604,Female,25,5,157780.84,2,58426.81,0,FALSE,TRUE,Canada
75,15770811,Wallace,519,Male,36,9,0,2,145562.4,0,TRUE,FALSE,Germany
76,15780961,Cavenagh,735,Female,21,1,178718.19,2,22388,0,FALSE,FALSE,Germany
77,15614049,Hu,664,Male,55,8,0,2,139161.64,0,FALSE,TRUE,UK
78,15662085,Read,678,Female,32,9,0,1,148210.64,0,FALSE,TRUE,Italy
79,15575185,Bushell,757,Male,33,5,77253.22,1,194239.63,0,TRUE,FALSE,Germany
80,15803136,Postle,416,Female,41,10,122189.66,2,98301.61,0,FALSE,FALSE,Canada
81,15706021,Buley,665,Female,34,1,96645.54,2,171413.66,0,TRUE,TRUE,France
82,15663706,Leonard,777,Female,32,2,0,1,136458.19,1,FALSE,FALSE,Germany
