RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited,eligible,active,country
11,15767821,Bearce,528,Male,31,6,102016.72,2,80181.12,0,true,true,Spain
13,15632264,Kay,476,Female,34,10,0.0,2,26260.98,0,true,false,Spain
17,15737452,Romeo,653,Male,58,1,132602.88,1,5097.67,1,false,true,Spain
21,15577657,McDonald,732,Male,41,8,0.0,2,170886.17,0,false,false,Spain
43,15687946,Osborne,556,Female,61,2,117419.35,1,94153.83,0,false,true,Spain
50,15771873,Buccho,776,Female,37,2,103769.22,2,194099.12,0,false,false,Spain
52,15768193,Trevisani,585,Male,36,5,146050.97,2,86424.57,0,false,true,Spain
56,15760861,Phillipps,619,Male,43,1,125211.92,1,113410.49,0,false,false,Spain
62,15773469,Clark,687,Female,27,9,152328.88,2,126494.82,0,true,true,Spain
68,15641582,Chibugo,735,Male,43,10,123180.01,2,196673.28,0,true,false,Spain
70,15755648,Pisano,675,Female,21,8,98373.26,1,18203.0,0,false,false,Spain
84,15701164,Onyeorulu,506,Female,34,4,90307.62,1,159235.29,0,false,false,Spain
100,15633059,Fanucci,413,Male,34,9,0.0,2,6534.18,0,true,false,Spain
102,15743192,Hung,623,Female,44,6,0.0,2,167162.43,0,false,true,Spain
138,15610156,Ma,637,Male,40,2,133463.1,1,93165.34,0,true,false,Spain
141,15698932,Groves,756,Male,44,10,137452.09,1,189543.9,0,false,true,Spain
151,15650237,Morgan,754,Female,32,7,0.0,2,89520.75,0,true,false,Spain
156,15679145,Chou,706,Male,57,7,0.0,1,17941.16,1,false,true,Spain
161,15692132,Wilkinson,717,Female,22,6,101060.25,1,84699.56,0,true,false,Spain
165,15658929,Taverner,683,Male,29,0,133702.89,1,55582.54,1,false,false,Spain
169,15574692,Pinto,667,Female,39,2,0.0,2,40721.24,1,true,true,Spain
170,15611325,Wood,682,Male,24,9,57929.81,2,53134.3,0,false,false,Spain
171,15587562,Hawkins,484,Female,29,4,130114.39,1,164017.89,0,false,false,Spain
173,15651022,Yost,480,Male,44,10,129608.57,1,5472.7,1,true,false,Spain
180,15625426,Ashbolt,754,Female,55,3,161608.81,1,8080.85,1,true,true,Spain
188,15708710,Ford,525,Female,37,0,0.0,1,131521.72,0,true,true,Spain
192,15771086,Graham,512,Female,36,3,84327.77,2,17675.36,0,true,true,Spain
194,15702741,Potts,601,Male,32,8,93012.89,1,86957.42,0,true,false,Spain
201,15604482,Chiemezie,850,Male,30,2,141040.01,1,5978.2,0,true,true,Spain
205,15627801,Ginikanwa,512,Male,33,3,176666.62,1,94670.77,0,false,false,Spain
213,15573152,Glassman,620,Female,41,9,0.0,2,88852.47,0,true,false,Spain
224,15733247,Stevenson,850,Male,33,10,0.0,1,4861.72,1,false,true,Spain
228,15676895,Cattaneo,547,Female,39,6,74596.15,3,85746.52,1,false,true,Spain
231,15808473,Ringrose,673,Male,72,1,0.0,2,111981.19,0,false,true,Spain
235,15704769,Smith,585,Female,67,5,113978.97,2,93146.11,0,false,true,Spain
254,15694717,Ku,544,Male,37,2,79731.91,1,57558.95,0,true,false,Spain
